reading_id,date,hour,location_id,PM2.5,PM10,NO2,CO,O3,AQI_value,AQI_category,neighborhood_name,zone_type,population_density,avg_income_level,distance_from_city_center_km,temperature,humidity,wind_speed,rainfall
1,2024-01-01,0,1,46.8,62.4,11.9,1.1,34.6,78.0,Moderate,Industrial Heights,Industrial,50000,87311,12,12.5,41,12.2,0.0
2,2024-01-01,0,2,24.6,32.8,24.5,0.4,7.6,41.0,Good,Green Valley,Residential,35000,51854,15,9.3,45,24.6,0.0
3,2024-01-01,0,3,15.6,20.8,24.5,0.8,15.6,26.0,Good,Downtown Core,Commercial,80000,66108,2,13.2,79,24.9,18.3
4,2024-01-01,0,4,24.0,32.0,44.3,0.4,12.8,40.0,Good,East Port,Industrial,45000,87308,8,17.6,67,8.4,7.4
5,2024-01-01,0,5,25.2,33.6,49.5,0.6,34.5,42.0,Good,Westside Suburbs,Residential,60000,53094,20,8.8,65,7.8,0.0
6,2024-01-01,0,6,21.6,28.8,45.6,0.1,34.5,36.0,Good,Central Business District,Commercial,25000,48067,1,8.8,56,20.3,17.0
7,2024-01-01,0,7,6.0,8.0,13.1,1.3,33.6,10.0,Good,North Park,Residential,40000,77384,10,17.9,42,24.3,18.3
8,2024-01-01,0,8,60.6,80.8,13.2,0.7,37.9,101.0,Unhealthy for Sensitive Groups,South Refinery,Industrial,30000,69515,14,13.8,73,14.5,0.0
9,2024-01-01,0,9,22.8,30.4,41.7,1.2,27.8,38.0,Good,Riverside,Residential,55000,62322,5,7.7,77,16.7,0.0
10,2024-01-01,0,10,36.0,48.0,42.0,1.1,35.6,60.0,Moderate,Market District,Commercial,42000,81651,4,12.7,54,13.8,0.0
11,2024-01-01,1,1,54.0,72.0,42.2,1.5,22.5,90.0,Moderate,Industrial Heights,Industrial,50000,87311,12,12.5,41,12.2,0.0
12,2024-01-01,1,2,25.8,34.4,47.6,0.6,30.4,43.0,Good,Green Valley,Residential,35000,51854,15,9.3,45,24.6,0.0
13,2024-01-01,1,3,26.4,35.2,41.9,0.9,22.2,44.0,Good,Downtown Core,Commercial,80000,66108,2,13.2,79,24.9,18.3
14,2024-01-01,1,4,32.4,43.2,11.9,0.3,29.2,54.0,Moderate,East Port,Industrial,45000,87308,8,17.6,67,8.4,7.4
15,2024-01-01,1,5,18.0,24.0,26.6,1.3,25.8,30.0,Good,Westside Suburbs,Residential,60000,53094,20,8.8,65,7.8,0.0
16,2024-01-01,1,6,21.0,28.0,10.8,1.7,34.1,35.0,Good,Central Business District,Commercial,25000,48067,1,8.8,56,20.3,17.0
17,2024-01-01,1,7,6.0,8.0,42.4,0.5,27.4,10.0,Good,North Park,Residential,40000,77384,10,17.9,42,24.3,18.3
18,2024-01-01,1,8,48.6,64.8,22.4,0.3,23.7,81.0,Moderate,South Refinery,Industrial,30000,69515,14,13.8,73,14.5,0.0
19,2024-01-01,1,9,23.4,31.2,25.5,0.2,35.3,39.0,Good,Riverside,Residential,55000,62322,5,7.7,77,16.7,0.0
20,2024-01-01,1,10,33.6,44.8,48.0,1.0,11.0,56.0,Moderate,Market District,Commercial,42000,81651,4,12.7,54,13.8,0.0
21,2024-01-01,2,1,46.8,62.4,34.8,1.8,35.2,78.0,Moderate,Industrial Heights,Industrial,50000,87311,12,12.5,41,12.2,0.0
22,2024-01-01,2,2,6.6,8.8,25.4,0.5,18.5,11.0,Good,Green Valley,Residential,35000,51854,15,9.3,45,24.6,0.0
23,2024-01-01,2,3,12.6,16.8,10.4,2.0,5.3,21.0,Good,Downtown Core,Commercial,80000,66108,2,13.2,79,24.9,18.3
24,2024-01-01,2,4,30.6,40.8,38.8,1.0,37.1,51.0,Moderate,East Port,Industrial,45000,87308,8,17.6,67,8.4,7.4
25,2024-01-01,2,5,25.2,33.6,14.4,1.7,29.7,42.0,Good,Westside Suburbs,Residential,60000,53094,20,8.8,65,7.8,0.0
26,2024-01-01,2,6,8.4,11.2,49.7,0.2,34.9,14.0,Good,Central Business District,Commercial,25000,48067,1,8.8,56,20.3,17.0
27,2024-01-01,2,7,16.8,22.4,35.3,1.5,21.4,28.0,Good,North Park,Residential,40000,77384,10,17.9,42,24.3,18.3
28,2024-01-01,2,8,40.2,53.6,34.6,0.1,8.8,67.0,Moderate,South Refinery,Industrial,30000,69515,14,13.8,73,14.5,0.0
29,2024-01-01,2,9,32.4,43.2,39.0,0.9,37.2,54.0,Moderate,Riverside,Residential,55000,62322,5,7.7,77,16.7,0.0
30,2024-01-01,2,10,39.6,52.8,16.8,1.6,5.3,66.0,Moderate,Market District,Commercial,42000,81651,4,12.7,54,13.8,0.0
31,2024-01-01,3,1,42.0,56.0,30.7,0.4,33.0,70.0,Moderate,Industrial Heights,Industrial,50000,87311,12,12.5,41,12.2,0.0
32,2024-01-01,3,2,39.6,52.8,47.7,1.3,21.2,66.0,Moderate,Green Valley,Residential,35000,51854,15,9.3,45,24.6,0.0
33,2024-01-01,3,3,7.2,9.6,33.9,0.5,8.8,64.5,Good,Downtown Core,Commercial,80000,66108,2,13.2,79,24.9,18.3
34,2024-01-01,3,4,37.8,50.4,18.8,1.0,34.8,63.0,Moderate,East Port,Industrial,45000,87308,8,17.6,67,8.4,7.4
35,2024-01-01,3,5,33.0,44.0,43.4,1.7,18.2,55.0,Moderate,Westside Suburbs,Residential,60000,53094,20,8.8,65,7.8,0.0
36,2024-01-01,3,6,11.4,15.2,15.3,1.9,32.2,42.5,Good,Central Business District,Commercial,25000,48067,1,8.8,56,20.3,17.0
37,2024-01-01,3,7,18.0,24.0,24.7,1.0,19.4,30.0,Good,North Park,Residential,40000,77384,10,17.9,42,24.3,18.3
38,2024-01-01,3,8,45.6,60.8,36.8,1.8,11.8,76.0,Moderate,South Refinery,Industrial,30000,69515,14,13.8,73,14.5,0.0
39,2024-01-01,3,9,26.4,35.2,32.5,0.9,6.0,44.0,Good,Riverside,Residential,55000,62322,5,7.7,77,16.7,0.0
